left_acc_x_mean,left_acc_x_max,left_acc_x_min,left_acc_y_mean,left_acc_y_max,left_acc_y_min,left_acc_z_mean,left_acc_z_max,left_acc_z_min,right_acc_x_mean,right_acc_x_max,right_acc_x_min,right_acc_y_mean,right_acc_y_max,right_acc_y_min,right_acc_z_mean,right_acc_z_max,right_acc_z_min,facial expression
-653.347693623826,-655.1871456187713,-654.2674196212986,743.0800540121862,731.3346113594805,737.2073326858333,-70.91564648095255,-76.96621375871854,-73.94093011983554,623.2425092984257,622.1238875405176,622.6831984194716,767.9713220534707,760.1296581338717,764.0504900936712,-209.6221761796578,-224.03448464676677,-216.82833041321229,2.0
-592.7274254368373,-632.115092254265,-612.4212588455512,787.5625269041643,754.971905849964,771.2672163770642,-97.76811674520295,-116.02722782928767,-106.89767228724531,582.5862062015374,537.2083590653823,559.8972826334598,809.4968502067527,781.3262381303023,795.4115441685275,-252.21570688260584,-254.29918171147656,-253.25744429704122,3.0
-627.7515703841086,-639.5122878723039,-633.6319291282063,767.3757860484577,739.1382643886741,753.2570252185659,-82.77051528222394,-92.45084813639846,-87.6106817093112,599.2371664612324,572.246309319282,585.7417378902571,786.6299615861146,776.813613000633,781.7217872933738,-238.4676305084502,-253.70095052487414,-246.08429051666218,3.0
-617.0010080681434,-641.164658589243,-629.0828333286931,775.9989812970812,747.2509127594166,761.6249470282489,-91.00213057981993,-104.99342767521382,-97.99777912751688,581.8958407137201,578.0713448767776,579.9835927952488,788.8446572694509,779.3067495401051,784.075703404778,-235.00370646318171,-255.59855260683273,-245.30112953500722,3.0
-609.8638824848042,-628.9739801106851,-619.4189312977446,771.483571572565,762.4744259860569,766.9789987793109,-90.33749480912745,-99.67537212792563,-95.00643346852654,599.5798916267631,565.1170109231577,582.3484512749604,807.4695527680658,766.4493581989218,786.9594554834938,-231.60368076949197,-258.78420134144983,-245.1939410554709,3.0
-619.0814989035426,-627.3149449619241,-623.1982219327333,774.1882237143212,767.6074569324785,770.8978403233998,-54.92477272702608,-92.78681368680566,-73.85579320691588,613.9471281361541,575.561939555786,594.7545338459701,791.3847088819532,754.3188292008971,772.8517690414251,-245.37143002032315,-246.91304894664714,-246.14223948348513,3.0
-596.9461392012068,-636.9941677695685,-616.9701534853878,795.0421557502982,768.1268471618432,781.5845014560707,-68.05216120310332,-77.98914807479946,-73.02065463895138,599.1580064217954,558.5779466297515,578.8679765257734,790.7858039132752,738.8310730074177,764.8084384603465,-252.52469290362134,-273.4849811637188,-263.00483703367007,3.0
-629.7729226922414,-654.2252557491832,-641.9990892207123,759.6788810217352,758.4344892377248,759.05668512973,-66.64772622820622,-74.89615065911231,-70.77193844365927,606.9640786999383,590.3589432200364,598.6615109599874,774.666844763646,758.4956643126657,766.5812545381559,-249.70398179904151,-258.6571405247235,-254.1805611618825,3.0
-635.6150510345562,-636.6630300505609,-636.1390405425586,754.7724735205393,748.6986245452224,751.7355490328808,-62.29364543111581,-87.94571842417253,-75.11968192764417,607.0519901925303,585.5760886343251,596.3140394134277,782.9104431414213,764.0526068625159,773.4815250019685,-228.9451446609381,-241.81730266543653,-235.3812236631873,3.0
-628.9058928550149,-647.3193246107126,-638.1126087328637,761.9514621432819,753.0201177322781,757.48578993778,-15.802712218829345,-76.01103336108152,-45.90687278995543,630.428343430349,594.2487766741458,612.3385600522474,784.5475828328711,726.2677963040568,755.4076895684639,-253.79778480132114,-291.2576663928038,-272.5277255970625,3.0
